RegionID,SizeRank,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020
2243,95,Davidson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,37,164442,166401,168884,171050,172435,173856,175681,177854,179738,181904,183620,186111,187728,189345,190850,193142,195849,198348,200594,202617,204791,206625,208876,211022,213621,215498,216986,217773,218536,219313,220431,221653,222721,223401,223566,223600,223831,224381,224905,225457,226256,227145,227805,228443,229207,230436,231982,233600,235094,236792,238811
3016,247,Rutherford County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,149,122056,123450,124764,126177,127267,128352,129833,131127,132455,133755,135424,137242,139127,140613,141776,143193,144675,146388,147186,147951,148714,149407,150316,151334,152338,153826,155224,155945,156324,156941,159081,161221,162988,164339,165346,166350,167104,167641,168340,169729,171307,172616,173150,173799,174784,176211,177787,179345,181158,183015,184950
3080,335,Williamson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,187,233343,234544,235591,237147,238643,240744,243029,245528,247946,250409,252380,254806,256803,258475,260211,262099,263921,265444,267021,268872,269982,270906,272046,273588,275724,278226,279847,281285,282060,283385,284382,285492,286523,287629,289166,290157,290426,289923,290244,290696,291584,292077,292731,293062,293805,294554,294967,295496,296385,297751,298921
1407,382,Sumner County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,165,142201,144834,147795,149422,150546,151667,153208,154581,156423,157842,159442,160520,161202,161700,162402,163335,164651,165796,167166,168792,170558,172303,173871,175361,177300,178994,180302,181474,182475,183525,183766,184245,185270,187100,188395,189390,189681,190689,191541,192415,192991,193738,194753,195341,195180,194344,193845,193602,193554,192919,192326
1496,522,Wilson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,189,164431,165625,167214,168764,170379,171918,173747,175576,177081,178714,179955,181624,183015,184385,185606,186991,188450,189944,191399,193247,195014,196670,198492,200531,202442,204399,205886,207254,208798,210170,211817,212719,213967,214658,215030,215123,215775,216373,217210,217690,218157,218625,218766,219223,219450,220067,220849,221559,221877,222139,222399
632,680,Maury County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,119,106119,106755,107015,107787,108591,109426,110161,110917,111895,112571,113452,114836,117303,119316,121186,122380,123959,126100,128424,130375,132027,133553,135471,136923,137189,137529,137928,139398,140758,142045,143107,144651,146442,148666,150226,151116,151957,152919,154632,156156,157547,158444,159495,160407,161311,162034,163062,164778,166945,169103,170688
2834,791,Robertson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,147,105514,105522,105815,106369,107292,108526,109721,111526,113514,115193,116626,117319,118546,120686,122938,124918,126427,128032,129331,129709,129949,129733,129751,130734,131460,132299,132780,134413,136261,138838,140491,142264,143020,145077,147194,148410,147931,147013,146377,145819,144817,143300,142758,142670,143565,143943,144323,145196,147510,150132,153001
1668,983,Dickson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,43,97894,98086,97738,97812,97711,97807,97828,98692,99570,100818,101941,103005,104010,104773,106107,107597,108806,109827,110754,111503,112761,113870,115313,115843,116520,117300,118452,119359,120887,122300,123726,124363,125128,125452,126736,128349,130803,132114,133043,133717,134432,135279,136180,137618,138647,140012,140393,141000,140828,141566,142244
2185,1193,Cheatham County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,21,130185,131109,132027,131926,132360,132616,134149,135043,136388,137650,139335,141612,143646,146254,148053,149968,150553,151649,152668,155544,158731,160680,161701,162033,162213,161099,160008,160552,162134,164063,165232,165872,165323,165703,166333,167922,168625,170927,172954,174738,175493,175919,176700,177050,178067,178910,179842,180072,181004,181049,181371
1773,1614,Hickman County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,81,68375,68990,69545,70001,70343,70785,70962,71345,71649,72086,72339,72554,72704,72847,73039,73433,73996,74604,75176,75687,76133,76545,76999,77676,78086,78614,78960,79434,79711,79974,80233,80437,80937,81484,82278,82518,82772,82736,83032,83288,83655,83922,84276,84677,84911,85109,85141,85510,86023,86717,87249
