RegionID,SizeRank,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020
2243,95,Davidson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,37,565900,571325,578286,583501,586070,588328,591398,595602,598658,602310,604270,608847,612452,616025,620291,626219,632163,636734,639911,643299,647077,649800,653730,657744,660128,661291,660916,661329,661104,661095,662439,664710,667677,670223,671457,672079,673873,676465,678544,679830,682639,686084,689058,691096,692770,695363,698861,702535,706468,710616,715967
3016,247,Rutherford County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,149,281889,284834,288013,290433,291995,293415,295416,297260,298887,300876,303488,306520,308980,311049,311905,314158,317716,322074,325237,327015,329195,330506,332073,333389,334831,336977,339096,339964,341354,342819,346321,349599,351965,353775,353949,354362,356138,358171,360703,362634,363368,363723,362829,362711,362916,363687,365220,366320,366086,365052,363641
3080,335,Williamson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,187,655877,660323,663249,665318,667786,671995,677681,682400,686852,689779,692046,692237,693852,695950,702156,706418,710987,713393,715696,718645,721276,724003,728069,732079,731273,728696,724544,727001,728060,730181,731076,733512,735141,737735,740950,745966,749306,752256,753675,754246,754221,754721,755998,756080,757156,757800,757506,756263,758315,761432,765720
1407,382,Sumner County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,165,343425,348574,354390,357355,360042,362012,364840,367353,371433,374776,378326,380309,381449,382888,384822,387241,390171,392732,395221,397561,397748,398606,399063,401711,405089,409514,412133,414743,415902,418713,418950,421271,424652,430637,435902,440388,443960,446947,448715,449540,450392,452029,455384,457023,458494,457589,457396,456917,456718,456215,457239
1496,522,Wilson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,189,356426,359485,361548,364251,365925,367568,369603,371949,373997,375698,377870,379728,381510,382979,385269,387786,390249,392637,395063,398328,401339,403912,405503,406139,408016,410494,413885,415557,417373,418058,419296,419638,421356,423141,425072,425655,425436,425520,425548,425839,425809,426995,427656,428538,428548,428815,429384,431548,433798,435656,437039
632,680,Maury County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,119,247691,247456,246568,246862,248493,251645,254304,256726,258140,260115,263261,267025,270839,273000,277044,280297,283165,285134,286867,288886,290755,292682,294892,298645,302986,308075,310992,313348,314837,316006,316180,316729,318516,321595,323507,320929,317981,314771,314946,314898,315483,316056,317606,318783,319321,318760,318798,321451,324244,327396,328886
2834,791,Robertson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,147,275961,277522,279182,281299,284208,286260,288802,290085,291502,293026,294667,294619,294124,293744,295656,297463,299389,301940,304883,308665,311514,313802,315999,320053,325175,329588,331515,333007,334470,335883,336456,337396,338426,339684,340066,340355,339702,340392,341274,342979,343757,345093,346889,348424,350495,352887,356159,359159,362734,365866,369918
1668,983,Dickson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,43,204553,204887,205065,205205,205768,206759,208060,210425,212479,215968,219177,222184,224877,226855,229080,232776,235098,237166,237623,239045,241243,243430,245853,247523,248244,249250,251009,252592,255229,257545,260387,261325,263378,263847,266656,269379,273681,276203,276554,276640,276224,277155,278492,280714,281826,283990,284298,285284,285729,287773,291208
2185,1193,Cheatham County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,21,253310,254700,257281,257700,258961,259141,262197,264218,266657,269251,272980,277990,282806,288880,293314,296780,297657,299001,301068,306093,312099,317421,320490,322115,322489,321520,319391,321530,324737,330508,332722,334781,333636,334024,334775,337326,338168,342094,345961,348767,349895,349876,351716,352370,354945,356593,358781,359838,362790,363557,365255
1773,1614,Hickman County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,81,154847,157510,160323,161011,161892,163307,163914,165103,165822,166954,167771,167675,166051,164716,163350,164088,164604,166377,167515,169186,169970,170343,170049,171221,173467,175516,176202,176537,176859,176472,177089,178105,179368,179465,180243,181667,182288,182001,182201,183142,184438,185237,185723,185542,185735,187012,188170,188270,188689,189872,191381
623,1724,Macon County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,111,113170,112905,114106,115749,117850,118910,118737,117623,115680,113760,113409,114258,116297,117480,118775,119411,119632,119953,121001,123115,125353,127293,127991,129111,129027,129295,129144,129985,131487,133127,135340,135908,136397,136025,136614,137877,140304,142215,143364,143865,144808,145420,145430,146351,147401,149258,150631,150881,150478,150412,151110
724,1870,Smith County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,159,179798,180364,181130,183237,183751,181955,178703,177292,178412,181257,183230,184394,185281,187700,188970,189626,191517,195602,200882,204078,205502,205751,208493,209978,212953,213696,217155,219844,221197,223318,224462,226688,227991,229765,230970,232069,232377,233496,234313,235510,237343,237712,238483,239174,241044,242775,243841,245771,247631,249714,250916
912,2197,Cannon County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,15,203791,204454,205456,207957,211599,215327,218639,219846,220638,219306,218990,217190,218057,217764,218225,218688,221252,224228,225383,224360,221812,221973,222924,225020,227280,231270,235700,237699,236967,237171,237501,239949,241771,245117,247461,250623,252703,254266,254459,255193,256925,257907,259592,260884,263374,263381,263362,262192,261096,259548,258430
2856,2612,Trousdale County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,169,163613,163903,165207,167477,170009,171882,172877,172702,171117,169750,169669,171533,172766,173781,174285,176353,177871,181040,182225,184564,185301,187469,188236,187664,187216,188651,190478,192628,194973,196883,199461,199760,201906,202470,204514,207017,211993,215968,218971,218926,219735,220575,222156,225273,228005,231208,233587,235795,235959,235953,236697
